word,num,x,y,z
野球,65,4.671917151,3.213518843,-2.37130231
活,65,0.2309237754,-2.133114169,-1.408753121
党,65,0.6155176295,5.477531911,-8.096584854
まとめ,65,1.871416296,0.5534566216,0.3577104828
住民,65,-3.346400278,5.121745239,-0.7398336331
資料,64,0.9930919405,2.827391923,1.581736685
リベンジ,63,0.7578075837,-0.09979422282,-1.550406584
場所,62,0.5609955014,-1.063599288,3.561023125
設置,62,-6.902476928,15.80147968,5.036700776
一般,62,-4.375753786,-2.417206927,3.004311368
存在,62,-9.12593152,1.668284165,-3.917912056
衛生,61,-2.098221161,4.38581995,2.32881159
確保,61,-11.91547641,7.67434659,1.324157802
ネット,61,-5.351500508,3.093716462,0.660394812
行動,61,-7.474670062,-5.844312445,-7.70204343
購入,60,-9.731669128,7.150223327,-0.6804226871
申請,60,-7.448106946,9.57847532,-2.274226996
ホテル,60,4.328905271,5.157405795,3.069586489
コメント,59,-3.124795759,-3.677985746,-6.117505702
受付,59,-2.664507147,3.527245863,1.582020895
障害,59,-6.375323416,-2.63899944,2.183276913
ブック,59,3.076668075,-0.9099743908,0.5981490515
活用,58,-10.08591518,6.881349441,0.7127663318
勤務,58,-2.58657449,8.859636784,-4.262271028
散布,58,-5.56610271,0.832244744,0.8833290234
保護,57,-8.340444134,5.521153918,-3.748151241
政策,57,-4.532538923,4.228066747,-3.497310817
文化,57,4.809171216,3.535086388,-0.7694057501
市民,57,1.868503769,6.136355091,-2.008345501
プロ,56,4.265989688,-0.4132395823,-3.713006955
背後,56,1.434911623,-3.562249794,-0.4106861682
方法,56,-7.994232726,-7.451040355,4.447337478
意見,56,-4.058132112,-2.620357425,-5.893607325
先生,55,10.17299429,-4.537965569,-4.4546093
時代,54,6.653671207,0.6973065426,-2.269067073
命,54,4.551132951,-2.319153754,-4.355493588
使用,53,-13.29951644,4.481481667,2.948322687
ブログ,53,2.459178325,-2.030305276,-3.606539082
木,53,15.93546944,1.22575877,-0.1412486905
税,53,-5.055272879,6.740910124,1.165338463
店,52,6.110990003,5.525322119,7.323134432
福祉,52,1.847698836,8.067764833,1.760007372
うち,52,5.292637102,4.45869289,4.155313634
宿泊,52,-2.43543978,5.576307399,0.2557854466
テレビ,52,8.315906862,-0.2507935788,-0.1696682747
座長,52,3.772388378,0.8541243269,-1.934170768
他,52,-1.891035544,-0.4001377901,2.215654877
日,51,9.020033727,4.296051458,0.4044072956
開設,51,-2.326646669,15.80377172,-0.7698164474
試合,51,-1.973987317,-1.401693898,-2.561772053
下記,51,-2.52604386,0.6216085303,4.478723125
サービス,50,-6.479419487,4.482435933,6.975553174
出演,50,0.9393975333,1.84841204,-11.04327638
個人,50,-4.396357724,-1.598817911,-3.311575437
診療,50,-0.8159848168,3.005667625,1.826877416
人口,50,-3.011756028,3.975838528,3.043668164
浮遊,49,-3.658341505,-1.280477875,1.283873955
雇用,49,-9.979614373,6.247858386,-2.492769544
除,49,0.6785840897,3.225229834,7.238151621
事例,49,-4.99064524,-0.2015556417,0.3934959862
数,48,-6.582091377,-4.201502983,5.786127749
措置,48,-7.913256023,3.520194066,0.2471377737
接種,48,-4.527801975,0.5749352748,-0.8378517295
最高,48,0.05981906583,1.890685873,-2.057073312
決定,48,-8.230412771,6.490366181,-5.349244642
株,48,2.240635103,3.858828289,4.385608073
提供,48,-9.505253033,6.261816479,-1.431222878
制度,47,-6.271372407,5.819095307,-0.877480387
原因,47,-3.746404941,-6.663400361,-0.7318030956
警戒,47,-5.853375848,1.868715935,-4.366159139
知事,47,3.2928705,7.200150718,-5.557910791
交通,47,0.8046551357,12.38240601,8.457572861
家庭,46,-1.851818587,-1.847832571,-0.045734375
一緒,46,4.491802107,-5.721451665,-3.904527636
意味,46,-5.446161916,-6.773072275,-3.570147158
政治,46,-1.5200346,1.70287378,-9.344800204
最終,46,-0.2125639366,-0.6908202523,-1.914081086
風,45,6.989866753,-4.638325373,1.597998663
飛沫,45,0.6967912063,-0.3658030128,0.9653807627
代表,45,0.9291407177,5.225726873,-7.755209914
心,45,2.005784194,-9.680527449,-4.790994738
